X,Y,OBJECTID,SiteID,Watershed,Stream,Site,ReachID,Site_Description,YearCount,YearMin,YearMax,Dens_Avg_Ttl,Dens_Avg_A1,Dens_Avg_Sz1,Dens_Avg_A2,Dens_Avg_Sz2,GlobalID
-122.027411433,36.9839355390001,1,SLR-main-0a,SLR,SLR-main,00a,SLR-main-0,Above Water St. bridge,11,2000,2018,9.11818181818182,7.57272727272727,0.945454545454545,1.52727272727273,8.37272727272727,{BB8B2923-709E-4F7C-A11F-9247EC87E417}
-122.02823302,36.9864630770001,2,SLR-main-0b,SLR,SLR-main,00b,SLR-main-0,Above HWY 1 bridge,2,2000,2001,4.75,2.8,0,1.95,4.75,{B32D5DCE-4E1B-4491-87FF-EDDA1E69575F}
-122.04126841,37.006613874,3,SLR-main-1,SLR,SLR-main,01,SLR-main-1,Paradise Park,22,1981,2018,13.2590909090909,8.50555555555555,0.754545454545454,0.833333333333333,12.5045454545455,{8C3283BD-2BF2-48CE-9AFD-AF06081C5A46}
-122.052307433,37.0141826830001,4,SLR-main-2a,SLR,SLR-main,02a,SLR-main-2,"Lower Gorge in Rincon Reach, Downstream of Old Dam site",17,1997,2018,15.5764705882353,13.9941176470588,2.49411764705882,1.33529411764706,13.0823529411765,{D3F94673-1048-4FB6-BAB7-FABFFE0FAC46}
-122.05380239,37.0151811110001,5,SLR-main-2b,SLR,SLR-main,02b,SLR-main-2,Lower Gorge in Rincon Reach,2,2000,2001,20.1,16.65,3.95,2.2,16.15,{37824458-3876-4605-A724-61F5C516FD8C}
-122.057697871,37.0245636000001,6,SLR-main-3,SLR,SLR-main,03,SLR-main-3,Upper end of the Gorge,9,1981,2001,76.5888888888889,47.24,24.8888888888889,5.08,51.1444444444444,{A71A1AEE-560E-44AB-8EB1-C8E0A6222042}
-122.070912499,37.0421101540001,7,SLR-main-4,SLR,SLR-main,04,SLR-main-4,Downstream of the Cowell Park entrance bridge,22,1981,2018,35.2727272727273,25.6722222222222,16.8363636363636,1.3,18.3045454545455,{BE1EE56B-5705-43E9-8A34-E7E6F8FE6466}
-122.070164817,37.047326463,8,SLR-main-5,SLR,SLR-main,05,SLR-main-5,Downstream of Zayante Creek confluence,4,1998,2001,52.025,49.3,8.1,2.525,43.925,{DCE6C615-F8CA-4231-BEE2-39D5441A5AD4}
-122.074861636,37.056843719,9,SLR-main-6,SLR,SLR-main,06,SLR-main-6,Below Fall Creek confluence,25,1981,2018,21.2,13.947619047619,15.744,0.744285714285714,5.444,{A2066F53-3E65-4A05-A162-2AB58E32FA53}
-122.089860132,37.0883095230001,10,SLR-main-7,SLR,SLR-main,07,SLR-main-7,Above Lower HWY 9 crossing in Ben Lomond,12,1981,2005,53.0166666666667,30.4375,33.45,3.3625,19.5666666666667,{DAD448A9-F225-4639-A19F-01B116AD2CB9}
-122.104038011,37.106837592,11,SLR-main-8,SLR,SLR-main,08,SLR-main-8,Upstream of the Larkspur Road (Brookdale),25,1981,2018,42.52,28.7428571428571,33.36,1.42857142857143,9.16,{C795B5A2-B975-4B7B-B9E6-CF9901C494D5}
-122.119096786,37.1206429900001,12,SLR-main-9,SLR,SLR-main,09,SLR-main-9,Downstream of the Boulder Creek confluence,18,1981,2018,33.4333333333333,25.4714285714286,23.3555555555556,1.65714285714286,10.0833333333333,{F0161915-FE5F-43BE-A20D-CA7F724223FA}
-122.134448816,37.1542364410001,13,SLR-main-10,SLR,SLR-main,10,SLR-main-10,Below Kings Creek confluence,17,1981,2018,25.9588235294118,20.95,19.8588235294118,4.25,6.06470588235294,{2505BC4A-0C24-46BA-8B9E-5CFE8EEC78C5}
-122.138880615,37.173365743,14,SLR-main-11,SLR,SLR-main,11,SLR-main-11,"Upstream of Teilh Rd., Riverside Grove",25,1981,2018,26.716,22.5875,20.564,4.55833333333333,6.34,{4CB4B952-51F6-4C73-809B-D5BF6EE736C9}
-122.147415892,37.200855007,15,SLR-main-12a,SLR,SLR-main,12a,SLR-main-12,Downstream of Waterman Gap and HWY 9,12,1981,2017,37.3416666666667,28.9909090909091,29.5833333333333,7.33636363636364,7.76666666666667,{3FECDB1B-E68C-4340-8E7A-4D752F8E4536}
-122.140956865,37.2120753340001,16,SLR-main-12b,SLR,SLR-main,12b,SLR-main-12,Waterman Gap upstream of HWY 9,12,1998,2018,50.2,36.8916666666667,35.9666666666667,13.2,14.2416666666667,{E24F3884-F005-49A0-9600-8D455673F908}
-122.064113991,37.0507919900001,17,SLR-zayt-13a,SLR,SLR-zayt,13a,SLR-zayt-13a,Upstream of Conference Dr. bridge,24,1981,2018,49.7833333333333,44.9217391304348,41.295652173913,4.31739130434782,8.9625,{39C260A0-9BEE-4B70-A9A5-CD16660C90D1}
-122.057311933,37.068783082,18,SLR-zayt-13b,SLR,SLR-zayt,13b,SLR-zayt-13b,Above first Zayante Rd. crossing,8,1997,2005,56.7875,46.7125,48.9714285714286,9.8,12.975,{13DF4981-DD9D-4A7A-8B65-DFA8CCE1E8C5}
-122.05469425,37.075383822,19,SLR-zayt-13c,SLR,SLR-zayt,13c,SLR-zayt-13c,Downstream of Zayante School Rd intersection with E. Zayante Rd,20,1998,2018,73.29,66.72,59.8947368421053,6.64,15.915,{758DFB08-18BB-42EA-9F64-D3C8301413C5}
-122.043268486,37.089884198,20,SLR-zayt-13d,SLR,SLR-zayt,13d,SLR-zayt-13d,Upstream of the third bridge crossing of E. Zayante Rd. after Lompico Creek confluence,20,1998,2018,104.81,90.735,90.7421052631579,14.185,16.515,{A9E89A0E-79F1-41BB-B6D1-A4B9715BDCD2}
-122.052146613,37.086343141,21,SLR-lomp-13e,SLR,SLR-lomp,13e,SLR-lomp-13e,Upstream of the fish ladder and downstream of first bridge crossing,12,2006,2018,44.1416666666667,38.5583333333333,37.1833333333333,6.025,6.95833333333333,{FED3716B-3D11-4AE9-8C39-28E54D19DFA8}
